,observers,resids,max_resid,mean_resid,a,w
16,False,"tensor([[4.6034e-04, 1.8636e-03],
        [5.3070e-04, 1.9960e-03],
        [6.0767e-04, 2.1333e-03],
        ...,
        [4.0409e+00, 1.1406e-01],
        [4.0611e+00, 1.0731e-01],
        [4.0807e+00, 1.0079e-01]])",9.933483123779297,2.053043842315674,0.10000000149011612,0.8999999761581421
17,False,"tensor([[3.5084e-10, 1.5852e-04],
        [2.1877e-08, 1.5829e-04],
        [1.0046e-07, 1.5787e-04],
        ...,
        [3.9451e+00, 3.3608e-01],
        [3.9087e+00, 3.6020e-01],
        [3.8712e+00, 3.8484e-01]])",4.415719032287598,0.661424994468689,0.10000000149011612,0.949999988079071
18,False,"tensor([[4.4476e-05, 1.1729e-04],
        [4.7955e-05, 1.2323e-04],
        [5.1596e-05, 1.2929e-04],
        ...,
        [5.1904e-02, 1.2293e-01],
        [5.4469e-02, 1.2074e-01],
        [5.7074e-02, 1.1850e-01]])",0.15610183775424957,0.02021649293601513,0.10000000149011612,1.0
19,False,"tensor([[2.4187e-05, 1.8808e-05],
        [2.4903e-05, 2.3332e-05],
        [2.5557e-05, 2.8296e-05],
        ...,
        [2.1556e-01, 5.0660e-02],
        [2.1882e-01, 4.8238e-02],
        [2.2202e-01, 4.5832e-02]])",0.2763466238975525,0.038844477385282516,0.10000000149011612,1.0499999523162842
20,False,"tensor([[8.0149e-07, 5.8864e-05],
        [1.1512e-06, 6.4289e-05],
        [1.5822e-06, 6.9966e-05],
        ...,
        [1.0390e-03, 1.6887e-01],
        [6.6956e-04, 1.6914e-01],
        [3.8087e-04, 1.6935e-01]])",0.17182309925556183,0.020194383338093758,0.10000000149011612,1.100000023841858
21,False,"tensor([[1.7053e-05, 1.3506e-06],
        [1.7599e-05, 2.3915e-06],
        [1.8085e-05, 3.7678e-06],
        ...,
        [8.1166e-02, 1.3518e-01],
        [8.4496e-02, 1.3235e-01],
        [8.7856e-02, 1.2946e-01]])",0.1858082413673401,0.025545058771967888,0.10000000149011612,1.149999976158142
22,False,"tensor([[1.9643e-06, 7.0915e-05],
        [2.3091e-06, 7.2049e-05],
        [2.6786e-06, 7.3006e-05],
        ...,
        [7.1084e-02, 1.2880e-02],
        [7.2048e-02, 1.1900e-02],
        [7.2983e-02, 1.0950e-02]])",0.07298307120800018,0.01039950828999281,0.10000000149011612,1.2000000476837158
23,False,"tensor([[3.8502e-07, 6.6226e-05],
        [6.4168e-07, 6.8324e-05],
        [9.5876e-07, 7.0285e-05],
        ...,
        [1.0763e-01, 1.4166e-02],
        [1.0643e-01, 1.5267e-02],
        [1.0518e-01, 1.6405e-02]])",0.16150695085525513,0.0295493695884943,0.10000000149011612,1.25
24,False,"tensor([[1.5016e-08, 2.6578e-05],
        [4.3062e-08, 3.0217e-05],
        [8.7614e-08, 3.4105e-05],
        ...,
        [8.3337e-03, 3.0345e-03],
        [8.4940e-03, 2.8996e-03],
        [8.6520e-03, 2.7632e-03]])",0.0478459969162941,0.0076829371973872185,0.10000000149011612,1.2999999523162842
25,False,"tensor([[4.1920e-07, 1.7957e-05],
        [2.9569e-07, 2.0893e-05],
        [1.8785e-07, 2.4068e-05],
        ...,
        [3.4580e-03, 2.2365e-02],
        [3.1861e-03, 2.2610e-02],
        [2.9238e-03, 2.2861e-02]])",0.13868989050388336,0.02465350180864334,0.10000000149011612,1.350000023841858
